Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
contigs	517	151	83	68	50	32	5315160	5204929	5038908	4935231	4639340	3960781	206	300784	5244705	50.54	105346	21026	128088.5	15	54	0.00
scaffolds	499	147	82	66	50	33	5316783	5205502	5045822	4935654	4685368	4051686	214	300784	5253645	50.51	105346	21421	128949.0	15	52	32.23
